Sinusoidal Grid
 Bounding Coordinates of MODLAND Tiles

 ntile_vert = 18
 ntile_horiz = 36

 iv  ih    lon_min    lon_max   lat_min   lat_max
  8  18     0.0000    10.1627   -0.0000   10.0000
  8  19    10.0000    20.3170   -0.0000   10.0000
  8  20    20.0000    30.4713   -0.0000   10.0000
  8  21    30.0000    40.6255   -0.0000   10.0000
  9  18     0.0000    10.1627  -10.0000   -0.0000
  9  19    10.0000    20.3170  -10.0000   -0.0000
  9  20    20.0000    30.4713  -10.0000   -0.0000
  9  21    30.0000    40.6255  -10.0000   -0.0000


l
